TID,Date,Service 1,Service 2,Service 3,Service 4,TotalPrice
12177,17/03/2025,Car Wash,Tire Shine,,,334000
12178,23/09/2024,Waxing,Polishing,Car Wash,,849000
12179,10/09/2024,Waxing,Polishing,Car Wash,,145000
12180,09/08/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,809000
12181,28/02/2025,Deodorizing,Waxing,Car Wash,,196000
12182,28/01/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,470000
12183,11/10/2024,Waxing,Polishing,Car Wash,,372000
12184,15/05/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,646000
12185,28/08/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,388000
12186,23/10/2024,Deodorizing,Waxing,Car Wash,,832000
12187,17/02/2025,Deodorizing,Waxing,Car Wash,,154000
12188,30/06/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,145000
12189,23/03/2025,Car Wash,Tire Shine,,,534000
12190,30/05/2024,Deodorizing,Waxing,Car Wash,,89000
12191,02/12/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,414000
12192,13/07/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,137000
12193,02/06/2024,Deodorizing,Interior Vacuuming,Car Wash,,237000
12194,12/11/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,387000
12195,30/12/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,500000
12196,23/04/2025,Deodorizing,Interior Vacuuming,Car Wash,,812000
12197,12/11/2024,Deodorizing,Waxing,Car Wash,,962000
12198,11/08/2024,Car Wash,Tire Shine,,,309000
12199,09/01/2025,Car Wash,Underbody Wash,,,800000
12200,03/12/2024,Car Wash,Underbody Wash,,,549000
12201,13/01/2025,Deodorizing,Waxing,Car Wash,,229000
12202,29/06/2024,Car Wash,Polishing,Tire Replacement,,874000
12203,24/12/2024,Waxing,Polishing,Car Wash,,561000
12204,16/04/2025,Deodorizing,Interior Vacuuming,Car Wash,,790000
12205,12/06/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,671000
12206,04/02/2025,Car Wash,Polishing,Tire Replacement,,738000
12207,03/06/2024,Deodorizing,Waxing,Car Wash,,351000
12208,25/01/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,351000
12209,22/11/2024,Car Wash,Underbody Wash,,,457000
12210,11/12/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,937000
12211,22/07/2024,Deodorizing,Waxing,Car Wash,,557000
12212,02/07/2024,Waxing,Polishing,Car Wash,,317000
12213,30/06/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,630000
12214,17/05/2024,Deodorizing,Waxing,Car Wash,,178000
12215,17/06/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,76000
12216,24/01/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,824000
12217,05/09/2024,Waxing,Polishing,Car Wash,,400000
12218,17/03/2025,Waxing,Polishing,Car Wash,,508000
12219,23/12/2024,Car Wash,Tire Shine,,,986000
12220,15/06/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,738000
12221,05/09/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,377000
12222,16/04/2025,Deodorizing,Waxing,Car Wash,,568000
12223,02/02/2025,Car Wash,Underbody Wash,,,710000
12224,01/09/2024,Waxing,Polishing,Car Wash,,313000
12225,01/08/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,152000
12226,15/02/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,582000
12227,23/10/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,415000
12228,11/04/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,464000
12229,27/03/2025,Deodorizing,Waxing,Car Wash,,798000
12230,05/12/2024,Deodorizing,Interior Vacuuming,Car Wash,,483000
12231,25/05/2024,Deodorizing,Waxing,Car Wash,,761000
12232,19/07/2024,Waxing,Polishing,Car Wash,,389000
12233,01/08/2024,Car Wash,Underbody Wash,,,387000
12234,12/12/2024,Car Wash,Tire Shine,,,722000
12235,14/10/2024,Deodorizing,Waxing,Car Wash,,990000
12236,08/08/2024,Car Wash,Polishing,Tire Replacement,,250000
12237,15/08/2024,Deodorizing,Waxing,Car Wash,,339000
12238,10/04/2025,Car Wash,Tire Shine,,,680000
12239,30/03/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,384000
12240,26/03/2025,Car Wash,Tire Shine,,,239000
12241,25/03/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,719000
12242,17/12/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,553000
12243,22/01/2025,Deodorizing,Interior Vacuuming,Car Wash,,467000
12244,28/10/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,242000
12245,27/11/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,428000
12246,16/08/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,365000
12247,02/09/2024,Car Wash,Underbody Wash,,,230000
12248,15/12/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,347000
12249,17/03/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,624000
12250,29/09/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,427000
12251,25/04/2025,Car Wash,Underbody Wash,,,597000
12252,09/07/2024,Deodorizing,Interior Vacuuming,Car Wash,,806000
12253,15/01/2025,Waxing,Polishing,Car Wash,,475000
12254,26/03/2025,Waxing,Polishing,Car Wash,,578000
12255,18/06/2024,Deodorizing,Interior Vacuuming,Car Wash,,381000
12256,04/08/2024,Deodorizing,Interior Vacuuming,Car Wash,,767000
12257,04/04/2025,Waxing,Polishing,Car Wash,,127000
12258,24/11/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,423000
12259,26/09/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,121000
12260,30/09/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,286000
12261,02/01/2025,Car Wash,Polishing,Tire Replacement,,174000
12262,15/07/2024,Car Wash,Polishing,Tire Replacement,,178000
12263,15/11/2024,Waxing,Polishing,Car Wash,,281000
12264,10/05/2024,Car Wash,Polishing,Tire Replacement,,293000
12265,06/02/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,968000
12266,26/06/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,475000
12267,06/01/2025,Car Wash,Polishing,Tire Replacement,,246000
12268,20/12/2024,Car Wash,Underbody Wash,,,266000
12269,15/07/2024,Car Wash,Tire Shine,,,117000
12270,07/02/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,202000
12271,18/12/2024,Waxing,Polishing,Car Wash,,241000
12272,08/07/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,529000
12273,07/11/2024,Waxing,Polishing,Car Wash,,411000
12274,22/12/2024,Deodorizing,Interior Vacuuming,Car Wash,,155000
12275,28/05/2024,Deodorizing,Interior Vacuuming,Car Wash,,382000
12276,10/03/2025,Waxing,Polishing,Car Wash,,644000
12277,28/12/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,175000
12278,06/10/2024,Waxing,Polishing,Car Wash,,119000
12279,07/12/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,901000
12280,08/02/2025,Car Wash,Tire Shine,,,425000
12281,08/09/2024,Deodorizing,Interior Vacuuming,Car Wash,,567000
12282,22/12/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,444000
12283,28/06/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,673000
12284,27/12/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,472000
12285,04/06/2024,Car Wash,Polishing,Tire Replacement,,493000
12286,06/10/2024,Car Wash,Polishing,Tire Replacement,,65000
12287,18/11/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,454000
12288,20/01/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,627000
12289,11/11/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,514000
12290,19/10/2024,Deodorizing,Waxing,Car Wash,,258000
12291,13/12/2024,Deodorizing,Waxing,Car Wash,,534000
12292,10/04/2025,Car Wash,Polishing,Tire Replacement,,426000
12293,24/09/2024,Car Wash,Polishing,Tire Replacement,,499000
12294,11/01/2025,Car Wash,Tire Shine,,,386000
12295,24/01/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,927000
12296,06/01/2025,Car Wash,Polishing,Tire Replacement,,493000
12297,25/10/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,660000
12298,16/02/2025,Car Wash,Polishing,Tire Replacement,,529000
12299,07/05/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,293000
12300,11/11/2024,Waxing,Polishing,Car Wash,,515000
12301,08/08/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,582000
12302,01/11/2024,Car Wash,Polishing,Tire Replacement,,694000
12303,04/02/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,767000
12304,06/07/2024,Car Wash,Tire Shine,,,362000
12305,02/09/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,731000
12306,23/01/2025,Car Wash,Polishing,Tire Replacement,,400000
12307,31/12/2024,Car Wash,Tire Shine,,,89000
12308,26/02/2025,Waxing,Polishing,Car Wash,,776000
12309,14/08/2024,Deodorizing,Interior Vacuuming,Car Wash,,412000
12310,06/11/2024,Car Wash,Tire Shine,,,584000
12311,05/12/2024,Car Wash,Polishing,Tire Replacement,,761000
12312,18/01/2025,Waxing,Polishing,Car Wash,,724000
12313,06/08/2024,Waxing,Polishing,Car Wash,,244000
12314,19/08/2024,Deodorizing,Waxing,Car Wash,,428000
12315,28/08/2024,Deodorizing,Interior Vacuuming,Car Wash,,237000
12316,01/11/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,640000
12317,29/12/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,473000
12318,10/03/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,242000
12319,06/08/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,171000
12320,05/10/2024,Car Wash,Polishing,Tire Replacement,,376000
12321,14/12/2024,Car Wash,Tire Shine,,,254000
12322,19/04/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,307000
12323,28/11/2024,Car Wash,Tire Shine,,,99000
12324,08/03/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,282000
12325,23/07/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,499000
12326,20/10/2024,Car Wash,Polishing,Tire Replacement,,115000
12327,09/01/2025,Car Wash,Polishing,Tire Replacement,,701000
12328,23/06/2024,Car Wash,Tire Shine,,,685000
12329,20/09/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,1074000
12330,31/03/2025,Deodorizing,Waxing,Car Wash,,481000
12331,25/12/2024,Deodorizing,Waxing,Car Wash,,277000
12332,03/06/2024,Car Wash,Underbody Wash,,,139000
12333,06/04/2025,Car Wash,Tire Shine,,,96000
12334,16/05/2024,Car Wash,Tire Shine,,,197000
12335,07/04/2025,Car Wash,Polishing,Tire Replacement,,563000
12336,08/11/2024,Car Wash,Underbody Wash,,,614000
12337,10/09/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,411000
12338,18/01/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,121000
12339,21/02/2025,Waxing,Polishing,Car Wash,,243000
12340,11/01/2025,Waxing,Polishing,Car Wash,,348000
12341,14/04/2025,Waxing,Polishing,Car Wash,,174000
12342,07/07/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,185000
12343,19/05/2024,Deodorizing,Waxing,Car Wash,,148000
12344,25/09/2024,Car Wash,Underbody Wash,,,498000
12345,08/04/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,249000
12346,23/03/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,649000
12347,14/01/2025,Waxing,Polishing,Car Wash,,630000
12348,14/04/2025,Car Wash,Tire Shine,,,530000
12349,01/07/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,361000
12350,23/04/2025,Car Wash,Underbody Wash,,,186000
12351,03/03/2025,Deodorizing,Interior Vacuuming,Car Wash,,783000
12352,10/04/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,277000
12353,12/06/2024,Car Wash,Polishing,Tire Replacement,,511000
12354,13/01/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,602000
12355,31/05/2024,Waxing,Polishing,Car Wash,,624000
12356,20/03/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,617000
12357,21/03/2025,Waxing,Polishing,Car Wash,,256000
12358,11/05/2024,Car Wash,Underbody Wash,,,364000
12359,25/11/2024,Car Wash,Underbody Wash,,,632000
12360,25/06/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,285000
12361,28/03/2025,Waxing,Polishing,Car Wash,,630000
12362,02/05/2025,Deodorizing,Interior Vacuuming,Car Wash,,239000
12363,19/11/2024,Deodorizing,Waxing,Car Wash,,293000
12364,24/12/2024,Deodorizing,Waxing,Car Wash,,449000
12365,24/06/2024,Car Wash,Polishing,Tire Replacement,,462000
12366,24/09/2024,Car Wash,Tire Shine,,,518000
12367,20/03/2025,Car Wash,Tire Shine,,,547000
12368,11/10/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,240000
12369,05/07/2024,Car Wash,Tire Shine,,,348000
12370,30/01/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,315000
12371,24/02/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,187000
12372,14/05/2024,Car Wash,Tire Shine,,,635000
12373,22/08/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,519000
12374,28/09/2024,Car Wash,Tire Shine,,,782000
12375,05/08/2024,Car Wash,Tire Shine,,,715000
12376,09/10/2024,Car Wash,Polishing,Tire Replacement,,567000
12377,17/01/2025,Deodorizing,Interior Vacuuming,Car Wash,,548000
12378,14/09/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,544000
12379,25/10/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,781000
12380,29/06/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,140000
12381,27/08/2024,Car Wash,Polishing,Tire Replacement,,343000
12382,07/04/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,355000
12383,08/09/2024,Waxing,Polishing,Car Wash,,682000
12384,03/06/2024,Car Wash,Polishing,Tire Replacement,,514000
12385,04/04/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,283000
12386,03/07/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,443000
12387,22/09/2024,Waxing,Polishing,Car Wash,,203000
12388,10/08/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,96000
12389,11/08/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,603000
12390,20/04/2025,Waxing,Polishing,Car Wash,,796000
12391,01/10/2024,Car Wash,Underbody Wash,,,502000
12392,05/01/2025,Deodorizing,Interior Vacuuming,Car Wash,,52000
12393,29/06/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,437000
12394,09/10/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,451000
12395,28/02/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,132000
12396,25/04/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,80000
12397,17/03/2025,Deodorizing,Interior Vacuuming,Car Wash,,468000
12398,13/06/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,221000
12399,22/05/2024,Car Wash,Polishing,Tire Replacement,,55000
12400,17/01/2025,Deodorizing,Interior Vacuuming,Car Wash,,299000
12401,16/01/2025,Waxing,Polishing,Car Wash,,512000
12402,20/12/2024,Car Wash,Tire Shine,,,462000
12403,01/10/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,484000
12404,27/04/2025,Deodorizing,Interior Vacuuming,Car Wash,,294000
12405,29/11/2024,Car Wash,Tire Shine,,,617000
12406,02/07/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,500000
12407,15/06/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,798000
12408,07/10/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,714000
12409,23/04/2025,Deodorizing,Waxing,Car Wash,,698000
12410,05/05/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,215000
12411,04/03/2025,Car Wash,Tire Shine,,,682000
12412,11/11/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,419000
12413,08/04/2025,Deodorizing,Waxing,Car Wash,,459000
12414,13/08/2024,Deodorizing,Waxing,Car Wash,,790000
12415,25/06/2024,Car Wash,Underbody Wash,,,592000
12416,09/11/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,369000
12417,20/09/2024,Car Wash,Underbody Wash,,,684000
12418,03/02/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,747000
12419,27/11/2024,Car Wash,Tire Shine,,,602000
12420,02/03/2025,Car Wash,Polishing,Tire Replacement,,804000
12421,08/08/2024,Deodorizing,Interior Vacuuming,Car Wash,,582000
12422,18/02/2025,Car Wash,Underbody Wash,,,126000
12423,04/05/2025,Car Wash,Polishing,Tire Replacement,,159000
12424,22/02/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,549000
12425,07/10/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,695000
12426,16/09/2024,Car Wash,Tire Shine,,,693000
12427,06/04/2025,Deodorizing,Interior Vacuuming,Car Wash,,698000
12428,11/10/2024,Waxing,Polishing,Car Wash,,642000
12429,20/03/2025,Deodorizing,Interior Vacuuming,Car Wash,,819000
12430,22/07/2024,Car Wash,Underbody Wash,,,724000
12431,07/08/2024,Car Wash,Polishing,Tire Replacement,,661000
12432,04/06/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,162000
12433,26/06/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,673000
12434,26/02/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,783000
12435,25/10/2024,Deodorizing,Interior Vacuuming,Car Wash,,451000
12436,16/04/2025,Deodorizing,Interior Vacuuming,Car Wash,,661000
12437,19/12/2024,Waxing,Polishing,Car Wash,,341000
12438,02/05/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,195000
12439,28/09/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,82000
12440,03/03/2025,Deodorizing,Interior Vacuuming,Car Wash,,164000
12441,07/12/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,388000
12442,26/02/2025,Deodorizing,Waxing,Car Wash,,611000
12443,13/01/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,125000
12444,12/03/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,189000
12445,28/11/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,142000
12446,01/03/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,696000
12447,04/04/2025,Deodorizing,Waxing,Car Wash,,655000
12448,06/04/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,266000
12449,08/06/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,74000
12450,04/03/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,389000
12451,14/03/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,364000
12452,19/07/2024,Deodorizing,Interior Vacuuming,Car Wash,,314000
12453,20/12/2024,Waxing,Polishing,Car Wash,,689000
12454,03/03/2025,Deodorizing,Waxing,Car Wash,,289000
12455,15/06/2024,Car Wash,Underbody Wash,,,423000
12456,10/01/2025,Deodorizing,Interior Vacuuming,Car Wash,,174000
12457,20/05/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,296000
12458,02/06/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,604000
12459,16/05/2024,Car Wash,Underbody Wash,,,407000
12460,22/04/2025,Car Wash,Underbody Wash,,,435000
12461,18/01/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,709000
12462,12/01/2025,Waxing,Polishing,Car Wash,,208000
12463,04/03/2025,Deodorizing,Waxing,Car Wash,,794000
12464,07/05/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,396000
12465,24/12/2024,Deodorizing,Waxing,Car Wash,,746000
12466,05/04/2025,Deodorizing,Waxing,Car Wash,,688000
12467,11/12/2024,Waxing,Polishing,Car Wash,,150000
12468,15/04/2025,Car Wash,Underbody Wash,,,183000
12469,19/09/2024,Deodorizing,Interior Vacuuming,Car Wash,,424000
12470,16/02/2025,Car Wash,Polishing,Tire Replacement,,574000
12471,15/09/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,517000
12472,21/11/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,609000
12473,05/09/2024,Car Wash,Tire Shine,,,548000
12474,06/03/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,166000
12475,25/03/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,407000
12476,02/06/2024,Deodorizing,Waxing,Car Wash,,323000
12477,17/03/2025,Waxing,Polishing,Car Wash,,207000
12478,20/06/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,277000
12479,12/03/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,391000
12480,16/06/2024,Waxing,Polishing,Car Wash,,415000
12481,22/07/2024,Car Wash,Underbody Wash,,,193000
12482,20/08/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,694000
12483,04/11/2024,Deodorizing,Waxing,Car Wash,,479000
12484,14/05/2024,Deodorizing,Interior Vacuuming,Car Wash,,194000
12485,31/01/2025,Car Wash,Polishing,Tire Replacement,,544000
12486,12/10/2024,Deodorizing,Interior Vacuuming,Car Wash,,353000
12487,02/12/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,638000
12488,05/05/2025,Waxing,Polishing,Car Wash,,354000
12489,31/07/2024,Deodorizing,Interior Vacuuming,Car Wash,,298000
12490,04/01/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,114000
12491,14/04/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,413000
12492,03/11/2024,Car Wash,Underbody Wash,,,95000
12493,07/04/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,259000
12494,11/12/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,408000
12495,06/10/2024,Deodorizing,Interior Vacuuming,Car Wash,,500000
12496,22/08/2024,Car Wash,Underbody Wash,,,248000
12497,11/02/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,592000
12498,02/10/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,250000
12499,22/01/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,149000
12500,09/04/2025,Waxing,Polishing,Car Wash,,910000
12501,07/07/2024,Deodorizing,Interior Vacuuming,Car Wash,,868000
12502,30/06/2024,Waxing,Polishing,Car Wash,,691000
12503,01/04/2025,Deodorizing,Interior Vacuuming,Car Wash,,601000
12504,06/08/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,256000
12505,02/11/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,365000
12506,21/07/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,699000
12507,17/12/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,540000
12508,06/08/2024,Deodorizing,Interior Vacuuming,Car Wash,,65000
12509,25/05/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,602000
12510,14/11/2024,Deodorizing,Waxing,Car Wash,,89000
12511,13/09/2024,Waxing,Polishing,Car Wash,,361000
12512,20/11/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,568000
12513,19/08/2024,Deodorizing,Interior Vacuuming,Car Wash,,406000
12514,15/09/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,78000
12515,14/12/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,479000
12516,21/06/2024,Deodorizing,Interior Vacuuming,Car Wash,,1136000
12517,22/03/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,471000
12518,13/09/2024,Deodorizing,Waxing,Car Wash,,545000
12519,03/07/2024,Car Wash,Polishing,Tire Replacement,,370000
12520,28/03/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,403000
12521,20/11/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,185000
12522,28/11/2024,Car Wash,Tire Shine,,,705000
12523,12/08/2024,Deodorizing,Waxing,Car Wash,,576000
12524,11/09/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,93000
12525,26/02/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,526000
12526,14/09/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,688000
12527,01/07/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,953000
12528,09/01/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,482000
12529,27/08/2024,Car Wash,Underbody Wash,,,700000
12530,18/09/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,325000
12531,29/09/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,770000
12532,28/09/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,471000
12533,26/01/2025,Car Wash,Tire Shine,,,855000
12534,21/02/2025,Deodorizing,Waxing,Car Wash,,104000
12535,24/08/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,410000
12536,09/04/2025,Waxing,Polishing,Car Wash,,272000
12537,16/07/2024,Waxing,Polishing,Car Wash,,494000
12538,05/09/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,142000
12539,14/04/2025,Car Wash,Underbody Wash,,,256000
12540,12/12/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,526000
12541,02/06/2024,Deodorizing,Interior Vacuuming,Car Wash,,355000
12542,15/04/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,121000
12543,26/12/2024,Car Wash,Tire Shine,,,419000
12544,13/06/2024,Car Wash,Polishing,Tire Replacement,,94000
12545,24/07/2024,Waxing,Polishing,Car Wash,,318000
12546,30/08/2024,Car Wash,Tire Shine,,,398000
12547,12/01/2025,Deodorizing,Waxing,Car Wash,,215000
12548,28/10/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,616000
12549,12/03/2025,Deodorizing,Waxing,Car Wash,,328000
12550,11/02/2025,Deodorizing,Waxing,Car Wash,,258000
12551,07/12/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,266000
12552,25/01/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,765000
12553,18/04/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,97000
12554,27/07/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,474000
12555,12/05/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,160000
12556,23/06/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,529000
12557,15/08/2024,Waxing,Polishing,Car Wash,,132000
12558,24/12/2024,Deodorizing,Interior Vacuuming,Car Wash,,585000
12559,07/04/2025,Car Wash,Polishing,Tire Replacement,,525000
12560,23/07/2024,Car Wash,Tire Shine,,,126000
12561,27/08/2024,Deodorizing,Interior Vacuuming,Car Wash,,377000
12562,21/10/2024,Car Wash,Tire Shine,,,805000
12563,19/03/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,346000
12564,27/10/2024,Waxing,Polishing,Car Wash,,364000
